userId,itemId,rating,timestamp
554,423,4,876550182
346,720,2,875265528
854,222,4,882812492
436,748,3,887768738
708,845,5,892719269
249,172,3,879572106
370,181,4,879434832
890,436,3,882402949
860,202,4,885990932
411,770,4,892845634
311,294,4,884364047
334,709,4,891548368
931,347,4,891035946
425,568,3,878738643
577,1044,4,880475504
416,86,1,886316439
83,28,4,880308284
303,327,1,879466166
757,157,3,888467855
234,1015,2,892079617
463,111,2,877385414
647,1014,3,876531583
758,91,4,881977375
336,780,3,877756934
233,275,5,885147637
655,1257,3,887433685
269,148,1,891446443
397,1018,4,882839517
304,322,4,884968415
495,121,5,888633473
788,51,4,880870018
232,474,5,888550036
269,401,3,891451013
167,225,3,892737995
913,195,4,881725846
709,117,4,879846623
798,1411,1,875639656
70,1,4,884065277
417,212,1,879647800
224,294,4,888081976
181,841,1,878963204
447,260,2,878854120
380,132,4,885479186
137,235,5,881433357
796,443,2,893202878
214,185,5,892668173
312,486,5,891699655
75,678,3,884049758
378,501,4,880055454
808,300,4,883949681
567,511,2,882425701
268,59,5,875309282
500,383,3,883877467
648,471,4,882211685
262,485,4,879793363
8,686,3,879362356
903,61,4,891033302
327,111,4,887819462
561,141,2,885809781
142,346,5,888639815
692,411,4,876954021
151,321,4,879523900
110,325,3,886987561
53,250,2,879442920
314,99,4,877888391
655,234,3,888474713
588,941,5,890026513
577,147,4,880470604
779,304,3,875501254
669,749,3,891517159
487,794,5,883530503
70,1030,2,884151801
130,200,5,875217392
65,66,3,879217972
429,505,4,882384821
499,136,4,885599447
363,537,1,891495402
417,474,4,879647118
378,744,3,880044609
659,611,4,891384606
843,665,3,879443482
922,94,3,891449333
393,538,3,887742071
393,203,4,887746091
428,879,4,885943818
655,280,2,888474490
518,475,4,876822811
175,136,4,877108051
271,443,3,885848943
293,445,4,888906315
650,313,4,891381546
83,97,4,880308690
244,953,4,880607335
644,121,5,889077344
751,50,5,889132162
85,161,4,882819528
668,333,3,881524020
338,175,4,879438762
426,673,4,879442227
505,584,4,889334067
736,324,3,878708991
81,318,5,876534817
308,147,3,887739831
505,199,4,889333442
267,68,4,878972931
570,243,1,881262557
669,531,3,892550310
843,98,3,879443668
383,134,5,891192778
805,552,3,881696124
159,451,5,884360502
18,517,2,880129388
457,179,4,882397963
586,161,5,884062671
267,177,5,878972756
295,511,5,879516961
291,188,3,874835198
450,43,4,887139080
533,21,3,888239930
749,823,3,878850060
447,175,3,878855847
486,286,2,879873973
709,92,4,879848397
932,493,5,891249767
194,371,3,879527584
98,210,4,880498968
739,97,5,886959115
741,478,5,891456741
886,651,5,876034074
854,174,3,882813574
548,55,5,891044482
381,1407,3,892697314
472,88,2,875982607
450,1163,3,882396928
301,193,3,882075994
807,50,5,892529076
435,527,4,884130995
276,151,5,874786568
320,89,4,884749327
293,696,2,888905229
456,211,4,881374162
666,91,3,880139409
130,366,5,876251972
756,121,3,874829152
889,520,4,880179756
787,324,2,888979605
144,14,4,888104122
758,352,4,885948283
45,118,4,881014550
833,831,1,875297256
303,1021,4,879484643
165,304,3,879525672
85,28,4,879829301
715,462,4,875963998
882,369,3,879863257
726,832,5,889832807
758,431,3,881977309
59,18,4,888203313
627,184,4,879531248
606,756,3,878146986
342,1047,2,874984854
543,578,3,877546305
627,434,4,879529855
313,167,3,891029076
42,102,5,881108873
115,269,3,881169559
130,426,4,875801897
551,260,5,892775869
99,354,2,888469332
246,77,2,884921839
535,86,4,879618385
642,38,4,885843141
747,23,5,888639735
655,942,4,888685850
606,959,5,880927128
886,144,4,876032509
304,259,1,884967253
749,151,5,878846783
622,213,5,882670009
363,42,2,891495070
654,678,4,888687055
58,173,5,884305353
880,1017,3,880175077
561,684,3,885808867
428,344,3,892572308
618,71,4,891309041
749,237,3,878846782
23,449,2,874787083
62,3,3,879372325
622,395,2,882672143
305,237,2,886322796
312,632,3,891698764
727,538,3,883708066
807,1411,1,893082619
833,673,4,875224039
406,602,3,882480865
177,156,5,880130931
344,285,5,889814068
601,238,2,876349897
923,276,5,880387429
372,547,5,876869481
145,554,3,875272245
276,759,1,874796412
417,796,4,879648881
912,143,5,875966694
506,66,4,874874676
474,696,3,887916330
40,321,4,889041523
417,692,4,879648132
358,511,2,891271035
456,662,4,881374710
49,501,3,888066979
157,1283,2,886891173
214,64,5,892668130
417,1057,2,880949763
195,1315,4,878019299
298,211,5,884125093
488,199,4,891293911
868,1183,1,877112141
743,311,5,881277551
854,488,4,882813761
617,134,3,883788900
625,483,5,891262983
11,401,3,891905324
256,692,5,882165066
382,1534,4,875946830
244,54,2,880607335
939,118,5,880261450
136,116,5,882693723
303,658,5,879484327
116,250,4,876452606
207,591,3,876018608
693,69,3,875482336
460,9,3,882912150
848,478,5,887039531
801,294,5,890332748
493,196,4,884130933
194,1412,2,879551921
249,4,4,879572142
546,145,4,885141502
472,232,4,875983321
213,176,4,878956338
170,749,5,887646170
318,378,4,884497632
458,193,4,886396460
843,800,4,879443482
757,568,4,888466490
370,322,3,879434308
791,322,4,879448128
324,260,5,880575277
239,133,3,889178652
932,175,4,891250449
329,129,3,891655905
200,1219,3,884130289
786,208,5,882843150
339,133,4,891033165
13,842,2,882399156
9,276,4,886959423
846,485,5,883947590
64,70,5,889739158
125,191,5,879454385
340,181,4,884991431
380,7,3,885478334
833,195,5,875038529
551,550,5,892784130
703,1047,3,875243028
227,276,4,879035251
354,1466,5,891217547
704,286,5,891397015
650,735,3,891369588
548,7,5,891044304
506,1089,1,889979761
663,696,3,889492877
599,845,5,880951974
506,271,4,880198184
793,628,3,875103942
303,245,3,879466249
140,873,2,879013719
693,428,3,875484763
496,1614,3,876070690
13,763,1,882141458
268,231,4,875744136
896,212,2,887160582
366,217,5,888857990
805,212,3,881696729
530,470,3,891568895
505,183,3,889333392
831,347,3,891354191
311,170,5,884364999
224,632,2,888103872
917,237,5,882912385
217,1034,3,889070266
318,792,2,884496218
217,226,1,889069878
44,427,3,878348547
655,4,2,887611649
542,818,4,886533112
687,268,5,884652088
8,687,1,879361825
533,778,4,879192157
45,100,5,881010742
42,237,4,881105882
321,198,4,879439926
119,93,4,874775262
334,230,4,891548808
487,270,5,883440572
293,17,2,888907335
429,475,4,882384579
254,151,2,886474396
508,73,3,883777329
327,960,5,887745774
405,786,1,885547644
773,1018,3,888539095
605,215,3,879426163
537,10,4,886030109
57,419,3,883698454
921,240,1,879379621
506,1407,2,885135954
40,270,3,889041477
666,805,4,880568436
838,12,4,887067063
878,88,4,880869418
727,451,5,883712681
505,69,3,889333974
326,168,3,879874859
630,735,2,885668231
114,153,3,881309622
478,143,5,889396797
911,427,3,892838538
206,900,1,888179980
82,456,1,884714618
180,111,5,877127747
363,239,3,891495272
705,820,3,883427817
851,1314,1,890862741
347,462,2,881654359
10,48,4,877889058
222,1042,4,878184514
145,767,2,879161882
586,228,3,884061459
463,249,2,889936035
100,348,3,891375630
619,258,5,885953622
236,370,3,890117353
374,369,1,880393864
487,195,4,883446907
804,483,5,879441627
96,182,4,884402791
756,289,4,874828027
263,315,4,891296896
545,568,3,879899299
391,180,5,877399066
32,100,3,883717662
600,1419,3,888452564
409,200,2,881109175
184,51,4,889909069
889,687,2,880177797
709,219,4,879848120
82,111,4,876311423
299,998,2,889503774
781,87,4,879634340
804,636,3,879445334
161,274,2,891172070
932,589,5,891250609
332,257,4,887916575
534,986,5,877808319
815,252,2,884267891
588,95,4,890015722
104,121,2,888466002
537,277,2,886029973
450,144,5,882373865
450,648,5,887660503
436,276,4,887769824
643,639,4,891447790
334,9,4,891544707
795,172,3,880570209
661,443,4,876035933
293,1041,2,888907674
730,294,4,880309996
798,97,1,875638474
87,135,5,879875649
864,1101,4,888887502
922,294,4,891447296
749,200,4,878848302
99,313,5,885678348
286,139,3,889653012
716,79,4,879794935
531,1316,4,887049214
868,193,2,877108123
632,485,4,879457157
180,729,5,877355598
8,518,4,879362422
370,22,4,879434832
943,38,3,888640208
293,427,4,888906288
479,480,5,889125737
207,248,3,877878409
262,65,4,879793897
707,632,4,886287426
813,893,3,883752708
109,823,3,880572296
590,286,5,879439645
453,181,5,877552612
167,133,5,892738453
464,520,5,878355167
864,24,5,888887502
504,1415,3,887912335
181,1187,1,878962816
42,428,3,881108040
837,111,4,875722050
276,225,3,874786854
497,164,4,879361872
894,591,4,880416137
747,168,4,888639015
166,894,4,886397905
514,430,4,875462901
406,87,3,879445809
268,941,2,875310463
374,696,3,880394233
234,25,3,892335797
82,294,4,878768327
181,124,1,878962550
291,22,5,874835062
84,258,4,883449347
870,378,3,879902226
145,69,5,882181632
343,57,5,876404426
193,541,1,889125976
303,270,4,879466088
301,404,3,882076463
160,4,4,876861754
445,151,4,891200869
450,182,5,882376585
253,190,5,891628278
757,684,4,888445864
823,83,3,878438024
698,283,2,886367849
423,744,4,891395655
443,245,3,883504796
496,88,1,876067346
330,28,5,876546526
747,269,4,888638183
833,157,2,875132195
868,95,2,877108302
332,22,5,887938934
76,1048,2,882607017
360,483,5,880355527
343,76,4,876407565
907,924,5,880159240
405,200,2,885548330
328,1126,3,885046580
498,228,2,881961627
123,319,4,879809220
236,211,3,890116539
43,479,4,875981365
501,1081,3,883348703
671,554,4,884036411
184,487,4,889908571
130,806,3,875217096
255,930,1,883216958
813,901,1,883752708
87,523,5,879875649
227,1028,2,879035803
130,281,4,876250850
892,671,5,886608212
148,495,4,877016735
215,357,4,891435573
407,169,5,875042642
751,193,5,889133556
561,744,3,885809781
747,315,4,888638774
314,332,5,877886029
416,696,3,876697524
234,133,3,892334680
92,449,3,875812511
81,1,4,876534949
276,9,5,889174849
941,1007,4,875049077
914,313,3,887121969
504,63,3,887912504
372,286,5,876868994
378,172,4,880045886
529,1038,4,882535304
548,258,4,891042474
339,436,4,891035147
822,902,4,891033747
164,100,5,889401998
450,401,3,882397224
