,userId,itemId,rating,timestamp
75721,877,381,4,882677345
80184,815,602,3,878694269
19864,94,431,4,891721716
76699,416,875,2,876696938
92991,500,182,2,883873556
76434,259,1074,3,874725264
84004,598,286,5,886711452
80917,886,496,4,876031952
60767,837,15,3,875721869
50074,521,184,4,884478358
27701,459,864,4,879563435
42141,622,568,4,882592449
45080,655,1197,3,887474289
16638,128,99,4,879967840
20424,308,31,3,887739472
88702,930,286,3,879533975
149,43,14,2,883955745
1761,42,176,3,881107178
63120,450,618,4,882373995
69161,521,568,3,884478101
64883,698,176,4,886366814
2495,13,476,2,882141997
80296,796,82,3,892676195
19447,308,492,3,887737535
41331,322,303,3,887313611
14888,276,408,5,874786467
88636,537,483,4,886030583
94892,933,180,5,874854723
92731,852,109,3,891036505
29130,416,156,5,893212895
79022,859,1281,3,885774937
84936,892,2,4,886609006
16821,378,979,3,880333851
36733,350,214,3,882347465
15602,393,1165,3,889730514
28533,240,245,4,885775831
69769,13,326,3,882140792
11405,165,651,5,879525961
96852,184,95,4,889908801
16130,296,45,5,884197419
19792,213,318,5,878955533
89577,217,684,5,889069782
40163,515,682,4,887659192
31776,487,38,2,884052069
25330,416,257,3,876697205
79156,455,77,4,879111528
51685,712,1091,3,874956543
75498,748,647,3,879454602
4727,313,230,3,891015049
85198,77,636,2,884753061
35795,474,276,5,887915221
12256,373,386,3,877107403
35718,312,519,5,891698726
70551,919,1086,4,875289322
54374,698,205,4,886367013
39691,629,187,5,880117031
93702,868,234,4,877103935
73691,899,934,3,884120603
98070,847,240,1,878939309
575,59,742,3,888203053
84610,634,547,4,877979407
61769,516,431,3,891290649
32260,357,273,5,878951457
82199,883,1448,5,891695570
36290,533,195,4,879439082
78449,666,204,3,880139090
60055,387,569,2,886481737
45948,716,235,2,879794154
28177,503,182,3,880472321
84463,328,810,3,885049535
578,26,1015,3,891352136
30959,533,845,4,882902989
64290,611,324,3,891636399
14531,303,26,4,879468307
17933,327,219,4,887746219
33608,301,1016,4,882074684
49959,577,28,5,880472077
66598,749,628,4,878846903
99089,727,1446,3,883712123
34451,589,288,5,883352536
34080,399,395,3,882350733
63587,766,568,2,891310313
4293,235,100,4,889655550
69102,861,83,5,881274672
86411,648,428,2,884881754
99476,938,289,1,891356282
53929,593,278,3,875659686
87070,837,111,4,875722050
65083,916,271,3,880843185
30712,410,269,5,888627137
49182,634,1142,3,877018347
57234,721,175,5,877140282
15663,381,473,5,892697150
19966,120,125,4,889490447
91912,848,647,5,887039329
91957,854,121,1,882813074
81346,896,190,5,887159530
55325,539,610,4,879788533
29857,268,11,4,875309507
71222,185,50,4,883525998
52458,747,844,4,888640136
88345,526,298,4,885682528
82363,667,182,5,891034767
65349,717,125,4,884642339
59649,49,919,5,888066133
44952,592,1281,3,882608795
39525,330,195,3,876546694
13935,189,381,3,893277551
93780,83,845,3,880306648
89884,904,762,2,879735617
81143,705,97,3,883518765
95799,846,1210,2,883950791
89404,851,1059,3,875730533
55223,764,9,4,876242649
73645,868,214,3,877106470
66293,886,172,5,876031527
65539,823,68,3,878438930
28110,449,276,5,879958705
41928,59,106,4,888203959
86546,634,1197,4,875729106
82585,10,700,4,877892277
38603,543,737,3,874866535
91657,905,1051,2,884984329
62786,450,1115,4,882395778
84340,463,740,4,877385922
39874,463,1033,2,890530703
78468,429,1109,2,882386448
31631,406,234,4,879792863
14952,318,414,4,884496008
39331,560,1333,3,879976071
48587,429,559,3,882386662
83594,327,268,4,887737629
41487,427,990,5,879701326
39627,483,230,5,878953592
87894,911,428,4,892839929
26303,405,1590,1,885549789
67403,227,741,3,879035464
98084,870,284,2,875051072
95601,493,262,3,884129793
5019,320,11,4,884749255
5223,161,654,3,891171357
15780,128,1063,2,879967047
45556,698,50,5,886366101
12896,125,1,4,879454699
34304,555,1054,3,879964335
93322,509,309,2,883590609
5324,2,290,3,888551441
52925,679,69,4,884487688
62864,880,931,3,880243564
8018,83,28,4,880308284
82944,880,780,3,880175157
90376,446,300,3,879787149
41720,171,346,4,891034835
866,6,463,4,883601713
98443,772,272,5,889028581
83039,631,288,3,888464916
13924,293,419,3,888906699
79892,305,59,3,886322758
31183,563,233,4,880507165
13799,348,411,4,886523790
40988,524,301,4,884321179
66733,693,855,2,883975636
78330,682,202,4,888521413
24378,427,989,5,879701253
23414,326,397,3,879876975
97559,350,429,4,882345668
22992,437,466,2,881001121
3231,291,572,3,874834944
41995,660,797,2,891201753
49187,132,251,4,891278996
22514,177,12,5,880130825
21325,42,469,4,881109324
86233,883,435,4,891696895
88126,843,528,3,879447030
29823,544,312,2,884796086
92484,935,313,5,884471835
68424,329,1011,3,891655981
64483,908,56,4,879722642
51019,627,318,5,879529701
26753,417,118,4,879646548
49963,622,64,5,882669391
42731,532,915,4,891909850
29056,293,133,3,888906045
55317,577,55,3,880474694
35496,303,1511,3,879544843
56337,425,362,3,890346317
79277,896,1183,2,887160842
5464,85,380,4,882995704
70155,589,333,5,883352402
70669,556,209,5,882136162
56013,689,109,5,876675152
12085,345,333,3,884900543
56818,806,121,4,882385916
20000,391,222,2,877399864
69066,754,117,4,879451626
50452,452,197,5,885816768
90709,758,43,3,881977747
52884,663,1324,3,889492473
30963,533,4,3,888845066
34573,470,137,3,879178406
15294,402,7,4,876267068
27918,411,527,4,892845926
46120,487,404,4,883446725
35073,26,222,3,891371369
10550,379,554,4,880525678
91127,151,173,5,879524130
690,222,49,3,878183512
77729,496,155,1,876070859
36096,200,141,4,884129346
65351,726,1028,2,889832592
11040,314,218,4,877889204
4221,64,2,3,889737609
821,270,25,5,876954456
38128,19,325,4,885412251
89151,406,367,4,880131929
29231,532,938,3,892519553
50556,26,249,2,891377609
33684,578,294,3,888957453
58753,283,412,5,879297526
27022,13,909,5,890704721
36905,195,373,3,875158215
270,100,344,4,891374868
8866,279,405,3,886015701
15006,62,286,3,879372813
4688,90,739,5,891384789
81995,665,33,2,884293873
84372,531,1316,4,887049214
2514,109,797,3,880582856
36399,385,191,2,879444597
38868,207,631,2,877847187
58244,782,1609,1,891499439
30409,537,70,4,886031786
54794,552,932,3,879222194
19263,62,14,4,879372851
83909,11,399,3,891905279
26973,339,276,4,891032495
7129,255,569,1,883216672
7144,336,13,3,877756890
45465,633,651,3,877212283
1966,160,117,4,876767822
15152,316,180,4,880853654
19113,416,301,5,893213796
76206,754,292,3,879451958
32141,488,845,3,891294853
21934,380,1404,2,885478646
40359,188,118,3,875072972
53841,394,578,2,880888927
9162,152,241,4,884035579
87843,929,172,4,879640329
37629,387,192,5,886484336
83304,833,1210,1,879818799
66269,116,343,2,881246552
34653,504,623,3,887910433
41962,447,27,3,878856601
39590,654,258,4,887863436
81035,653,521,4,878854441
10980,385,474,5,881530739
56299,815,524,4,878693381
61548,520,690,5,885168677
88400,868,158,1,877111328
44323,645,59,5,892053429
55207,798,993,3,875554639
53527,449,285,5,879958572
26970,193,508,4,889125319
73217,771,768,4,880659867
65890,176,293,5,886048040
42221,585,923,5,891282808
97865,396,323,4,884645790
12250,328,736,3,885047737
69436,385,874,3,879438975
38432,617,134,3,883788900
40889,653,211,1,880149947
30998,184,529,4,889909445
56145,763,879,3,878914901
95413,638,29,2,876694917
22155,54,340,4,890608225
17613,22,154,4,878886423
56443,591,508,4,891039616
98399,846,396,5,883949508
24052,393,1244,3,887745380
50242,577,739,3,880474871
58998,515,1430,3,887658604
31344,406,357,4,879446108
61241,666,111,3,880313523
92529,883,922,5,891717963
80828,345,12,5,884901701
51725,6,519,5,883601365
33879,561,64,3,885809605
83006,883,732,3,891694340
73908,567,527,3,882426673
67246,617,567,2,883789747
88807,85,482,4,879454304
13121,164,333,5,889401383
8257,40,303,4,889041283
93380,937,137,3,876769480
13914,405,656,1,885548275
30902,456,238,4,881373756
72858,655,912,3,891817522
20292,223,620,2,891550253
58170,560,845,3,879976602
20949,337,222,5,875185319
36694,461,255,2,885355890
8525,344,313,3,884814359
78271,878,474,5,880868819
77402,892,229,3,886610011
77651,601,178,4,876348526
99836,734,294,1,891025891
92271,641,203,4,879370337
29775,334,1198,3,891544735
34807,72,476,4,880036048
16885,255,860,2,883216748
49983,429,288,3,882387685
62614,645,513,5,892054481
14228,342,724,1,875320297
52176,344,562,2,886381985
8028,230,51,4,880484937
28921,405,1274,1,885548137
69419,541,622,3,883874804
70811,790,226,3,885156396
34363,456,959,4,881375127
43203,281,301,3,881200643
36794,551,447,5,892783711
97026,833,1353,3,875035885
63342,442,68,3,883390416
36955,468,275,4,875280143
69228,846,565,2,883950712
9423,159,286,1,880485233
86000,856,307,4,891489250
16958,325,517,4,891478219
21614,363,443,4,891500334
61461,693,127,4,875482056
61773,502,261,2,883702945
86801,542,90,4,886533227
67502,682,683,2,888518503
79370,833,435,2,878078229
34496,405,1078,1,885549004
43008,138,602,4,879024382
91597,858,9,5,880932449
75438,797,948,1,879439230
29719,503,385,1,880472298
38606,643,154,4,891447286
77126,886,1048,4,876032840
97087,774,82,2,888557277
24626,82,9,4,876311146
61814,328,689,5,885044733
69755,721,199,4,877147323
11930,267,475,5,878970368
16160,327,89,4,887744167
47439,651,268,2,880126473
34605,378,300,4,889665232
14106,99,402,4,885680617
90650,486,281,3,879874629
98434,843,441,2,879443544
17502,56,1092,3,892911573
63485,892,661,5,886608473
33075,201,679,3,884310104
79808,916,70,4,880845099
90790,679,751,5,884325826
93364,859,475,4,885776056
