,userId,itemId,rating,timestamp
86525,694,204,4,875728639
4024,193,682,1,889123377
4731,223,323,2,891549017
46016,58,603,5,884304812
46674,498,425,2,881957431
76728,899,204,4,884121683
16434,373,206,4,877104284
63758,774,826,2,888558623
42976,607,121,2,883879811
96591,130,444,4,880396495
84037,896,250,3,887235144
47317,561,175,4,885807429
49731,286,17,4,877531537
48089,717,328,4,884641842
960,279,982,3,875298314
16280,263,423,5,891299630
89133,271,43,3,885849817
40259,307,588,4,877118284
59296,500,69,4,883873839
97026,833,1353,3,875035885
76397,425,443,2,878738956
54684,536,121,4,882318820
55481,85,1171,3,879452638
72198,274,472,3,878945918
57938,367,5,4,876689991
48835,586,452,3,884060941
89920,898,327,5,888294529
35064,436,553,3,887769777
51598,625,190,3,892000576
88214,181,1215,1,878963304
78829,893,77,4,874829706
51309,650,164,4,891369798
87211,527,1149,4,879456637
58189,294,254,3,889242937
6561,94,693,4,891720921
72465,870,471,4,885071869
689,165,216,4,879525778
25329,22,431,4,878888026
55993,421,187,4,892241624
79796,868,217,2,877109895
67944,618,159,3,891309670
69256,435,919,5,884132184
61318,763,510,4,878915559
55593,395,1,5,883765062
60459,622,41,3,882672060
85020,871,1072,3,888193541
28905,356,316,4,891406372
87379,804,1101,3,879444805
96768,889,705,4,880178287
17444,406,435,5,880131642
73747,919,717,3,875288805
194,130,379,4,875801662
83166,114,135,4,881260611
50305,554,218,4,876550654
59922,234,378,4,892335213
48622,33,271,4,891964166
33467,200,501,4,884129504
14151,7,675,5,891352947
97914,720,311,5,891262635
67357,805,143,3,881705765
14740,406,317,4,882480772
81164,620,172,4,889988146
18779,145,1002,1,888398400
39753,429,22,5,882384744
4422,94,79,4,885882967
24010,486,874,3,879874297
39182,637,280,2,882904679
83814,885,245,2,885712224
64717,833,183,5,875123026
49743,260,333,4,890618198
72336,110,364,3,886989612
94931,373,168,5,877098297
54085,367,413,4,876689879
91546,89,405,3,879441586
57252,308,659,3,887736532
50740,492,134,3,879969644
76516,293,229,2,888907726
87037,919,305,4,885059623
35358,278,288,5,891295230
21567,405,1479,1,885547735
60291,702,229,4,885767775
52316,157,276,4,886889876
88986,296,514,5,884199624
56244,741,98,5,891455516
80980,694,490,4,875727877
94859,858,323,2,879459926
87930,533,208,4,879191374
32755,254,22,4,887347350
49248,230,498,5,880484755
98415,774,219,4,888557739
72758,716,218,3,879796766
11337,201,36,1,884140927
28446,533,673,3,879439143
17799,311,576,3,884366269
34598,478,41,3,889396330
2945,140,301,3,879013747
22998,468,507,5,875295412
4124,119,1170,3,890627339
10164,311,845,4,884366824
61569,753,322,3,891401167
1638,87,9,4,879877931
30862,527,124,4,879455680
29335,524,467,4,884635287
8743,249,472,3,879640502
56755,773,665,2,888540187
52912,582,15,3,882961481
86446,521,827,1,884476904
57088,648,193,4,884628607
12382,345,1016,3,884994619
15752,271,237,4,885847763
92451,435,559,3,884132342
53691,388,315,3,886438122
42512,660,98,4,891199348
77925,737,192,5,884314970
72290,843,566,3,879444766
52543,625,173,3,891953681
85014,660,175,3,891199367
19922,378,1107,3,880056351
33605,521,73,3,885253827
7950,13,776,2,882398934
73729,754,237,3,879451805
36597,442,273,4,883390328
41255,405,694,1,885546336
25250,262,210,3,879792962
11420,190,363,2,891626023
65698,427,289,5,879701326
4243,235,684,4,889655162
67242,851,343,2,883148773
3242,291,99,4,875086887
86686,867,528,4,880078371
56833,693,64,3,875482136
32478,464,294,4,878354721
9924,31,514,5,881548030
94364,796,649,3,893194646
90836,92,108,2,886443416
78355,480,485,4,891208186
38410,506,47,4,874876486
59674,650,187,2,891381585
97173,772,271,4,889028773
78552,707,744,3,880060261
83650,689,237,3,876676293
68406,758,751,4,882597651
34089,128,471,4,879967804
19135,276,124,5,880913800
32539,577,204,4,880474338
60125,145,55,3,875272009
87523,886,87,4,876032473
80925,749,429,4,878847461
65099,864,217,4,888891524
10299,229,349,4,891633028
94603,336,579,3,877757373
47641,537,882,4,886028791
8285,7,8,5,891351328
33944,215,127,4,891435183
70120,922,151,5,891449152
25385,87,866,4,879877208
64650,699,21,3,884152916
49995,495,265,5,888633316
2744,99,895,3,885678304
17364,429,944,3,882387474
27435,505,422,3,889333975
23771,21,878,2,874951039
10953,65,239,5,879217689
20182,7,565,4,892132019
88125,903,9,3,891031309
35095,496,228,1,876065588
33947,59,477,3,888203415
4232,1,159,3,875073180
18948,99,406,3,885679353
95339,666,692,3,880568505
40772,660,510,3,891199056
99662,698,134,3,886366558
22271,196,66,3,881251911
73825,933,209,2,874854678
98590,887,548,1,881381555
94879,440,304,5,891546785
88299,917,879,2,882910604
67417,452,100,5,885544109
76477,719,220,5,888454728
67020,802,234,5,875985601
82416,749,214,3,878849177
58377,1,153,3,876893230
75322,938,181,5,891356390
351,254,662,4,887347350
73504,121,50,5,891390014
99349,787,751,4,888979235
93430,878,512,5,880867709
62470,867,174,5,880078991
32200,311,621,4,884365579
83031,847,125,3,878774969
37858,23,134,4,874786098
59455,600,195,4,888451492
