,userId,itemId,rating,timestamp
463045,2857,2268,4,972511121
189068,1172,2710,3,974867608
890623,5376,3681,5,960409841
729486,4362,246,5,965188352
376564,2197,246,4,974606004
688401,4117,1729,4,965622966
985087,5952,541,4,957144200
67976,456,912,3,976299981
933646,5636,65,1,1022648467
383441,2241,936,5,974595648
383001,2237,2757,4,974598856
52444,346,900,5,976333862
527121,3260,1968,5,968255537
678220,4064,2285,4,965476776
122666,791,1920,4,981767635
187306,1162,1704,3,974861801
375812,2189,3114,4,974607816
114387,744,2642,3,975469105
471233,2900,2997,5,971904185
978201,5894,1385,3,957464151
494951,3036,969,5,970267922
830192,4984,1678,3,962595634
981018,5917,6,4,957315691
117660,757,3552,3,975454598
249381,1502,3753,5,974749111
297417,1764,3481,4,974707737
409031,2455,2986,1,974180726
511509,3155,1246,5,968895876
421009,2544,661,4,974040742
705822,4227,2707,1,965323570
3803,27,2186,5,978129223
424072,2570,36,4,973912028
194462,1199,350,4,974847916
995145,6010,653,4,956859349
529614,3272,3643,4,971254161
123707,797,2154,4,975414109
267058,1624,3939,1,974774450
284997,1699,1080,5,974711223
185261,1150,494,1,974871955
361877,2109,1011,1,974655791
395225,2334,1931,4,974432144
499198,3067,3255,4,969999963
382832,2237,3811,4,974596743
83794,550,3022,4,976066493
125925,810,1246,5,975394229
413524,2487,2670,4,974143582
255118,1552,1711,4,974743317
328295,1941,2355,5,974854608
827893,4973,1293,4,962607053
76836,520,1084,4,976227677
65852,442,1257,5,978454396
688882,4121,196,3,965357578
624658,3778,3476,3,966048829
936050,5647,1951,2,958923582
734067,4386,2023,3,965168020
242952,1465,2589,4,974755126
989479,5974,923,5,956946572
753077,4488,2699,2,965012741
869501,5252,3730,4,961297082
907438,5491,1285,5,959816333
401130,2390,2424,4,974297815
32522,218,43,3,976842591
53711,352,2628,3,976325238
736675,4404,185,2,965158675
354322,2073,356,5,974669268
21209,156,1197,4,977251663
363890,2120,785,5,977274756
581225,3550,1476,3,967000362
490392,3017,342,4,970507624
187526,1164,3409,1,1013649816
12604,96,534,4,980563382
789140,4725,1135,3,963378578
667331,4016,2612,4,965535818
108596,712,1,4,975539400
362383,2114,589,5,974649297
900674,5446,1953,4,959972041
546923,3371,307,5,967606832
456546,2810,2709,3,972771187
435805,2664,454,5,973460422
549502,3390,3167,4,967512113
744153,4447,1258,3,965255942
932253,5627,150,4,959044053
204271,1258,50,4,974821767
468372,2887,434,4,972143077
623828,3773,1126,2,966044125
807222,4831,1245,3,962903041
872339,5268,1760,2,961169557
844784,5077,2183,4,963204005
893231,5394,3246,4,981230786
557937,3425,3755,3,967363626
362191,2110,2700,1,974651970
708968,4251,2028,5,965307592
811581,4868,3070,3,962816735
363526,2116,558,3,974647731
813256,4883,588,3,962754544
2793,22,81,4,978153669
131283,850,1916,5,975357428
89287,588,2176,4,975944249
60672,411,2398,2,976287704
276998,1675,692,1,974711924
91215,604,1197,4,975868830
100302,669,333,5,975631807
891640,5387,329,3,960330181
459795,2835,1354,5,972575474
59728,406,1663,4,976655452
467815,2883,2580,4,972266697
910389,5505,2600,4,959732710
630831,3816,1552,4,965954439
755895,4505,3551,4,964993740
371203,2169,1449,4,974611261
420551,2541,2746,3,974045294
363605,2118,1256,5,974685173
865824,5221,3735,5,961553677
360769,2106,2123,1,975129692
780095,4658,1985,1,963880063
304896,1812,663,4,974840549
686947,4112,1862,4,965365556
319580,1897,2915,4,1014236146
538872,3314,2641,3,967947043
761045,4521,435,4,964836165
632472,3823,848,4,965943143
277579,1676,2835,3,974798315
269335,1632,2946,3,974718290
542916,3341,3418,4,967799386
181895,1137,3409,3,975362039
181217,1133,1263,5,974887371
639609,3844,2389,5,965890733
146901,948,2820,3,975148047
550604,3391,2926,4,967660939
760367,4517,1387,3,991034916
661776,3992,589,5,965591438
69735,469,1225,5,976224935
705295,4227,10,4,965318433
133411,862,3083,3,977718665
996335,6016,2941,3,994454961
200006,1228,2616,1,976755271
747375,4458,3703,3,965095352
655142,3946,1291,5,965756814
852277,5112,1584,3,962328104
134282,869,1339,5,975280907
488618,3007,3254,1,970541711
840284,5047,1089,5,966134457
125366,806,2693,4,975395222
115916,752,3098,3,991957059
780332,4658,196,1,963879193
864737,5214,1096,4,961556916
295334,1753,1916,3,974702798
65113,438,595,4,976249576
366217,2131,3175,4,994547417
744023,4447,2902,2,965173927
24565,173,1219,5,980363153
73124,494,1381,3,976216441
862823,5193,125,4,979424624
33703,225,2890,5,976831070
960616,5794,2140,3,958069540
920224,5557,2746,4,959439947
615905,3728,785,3,966215750
445487,2748,1291,3,973207452
