userId,itemId,tag
60756,funny,1445714994
60756,Highly quotable,1445714996
60756,will ferrell,1445714992
89774,Boxing story,1445715207
89774,MMA,1445715200
89774,Tom Hardy,1445715205
106782,drugs,1445715054
106782,Leonardo DiCaprio,1445715051
106782,Martin Scorsese,1445715056
48516,way too long,1169687325
431,Al Pacino,1462138765
431,gangster,1462138749
431,mafia,1462138755
1221,Al Pacino,1461699306
1221,Mafia,1461699303
5995,holocaust,1455735472
5995,true story,1455735479
44665,twist ending,1456948283
52604,Anthony Hopkins,1457650696
52604,courtroom drama,1457650711
52604,twist ending,1457650682
88094,britpop,1457444500
88094,indie record label,1457444592
88094,music,1457444609
144210,dumpster diving,1455060381
144210,Sustainability,1455060452
1569,romantic comedy,1419805413
1569,wedding,1419805419
118985,painter,1419805477
119141,bloody,1419793962
109487,black hole,1493093306
109487,sci-fi,1493093332
109487,time-travel,1493093356
2,fantasy,1528843929
2,magic board game,1528843932
2,Robin Williams,1528843907
110,beautiful scenery,1528152541
110,epic,1528152532
110,historical,1528152523
110,inspirational,1528152527
110,Medieval,1528152528
110,mel gibson,1528152521
110,Oscar (Best Cinematography),1528152539
110,revenge,1528152531
110,sword fight,1528152535
410,black comedy,1525636607
410,Christina Ricci,1525636685
410,Christopher Lloyd,1525636622
410,dark comedy,1525636610
410,family,1525636708
410,gothic,1525636609
2023,Al Pacino,1525636728
2023,Andy Garcia,1525636768
2023,Classic,1525636752
2023,Francis Ford Coppola,1525636752
2023,mafia,1525636733
2124,black comedy,1525636847
2124,Christina Ricci,1525636867
2124,Christopher Lloyd,1525636859
2124,Family,1525636855
2124,gothic,1525636849
2124,quirky,1525636846
2953,family,1525636883
2953,funny,1525636885
2953,Macaulay Culkin,1525636890
2953,sequel,1525636887
3114,animation,1525636903
3114,Disney,1525636902
3114,funny,1525636913
3114,original,1525636917
3114,Pixar,1525636901
3114,sequel,1525636910
3114,Tom Hanks,1525636925
3578,ancient Rome,1528152504
3578,Epic,1528152469
3578,history,1528152467
3578,imdb top 250,1528152498
3578,revenge,1528152496
3578,Rome,1528152463
3578,Russell Crowe,1528152465
4223,Ed Harris,1528024869
4223,Jude Law,1528024854
4223,Rachel Weisz,1528024873
4223,sniper,1528024852
4223,World War II,1528024877
5388,Al Pacino,1530310809
5388,atmospheric,1530310959
5388,Hilary Swank,1530310952
5388,Robin Williams,1530310811
6058,sequel,1525555053
6058,violent,1525555051
6534,dogs,1525554096
6534,Eric Bana,1525554086
6534,mad scientist,1525554098
6534,marvel,1525554100
6541,captain nemo,1525554054
6541,comic book,1525554028
6541,gothic,1525554056
6541,Peta Wilson,1525554040
6541,Sean Connery,1525554026
6541,superhero,1525554051
6564,adventure,1525554439
6564,Angelina Jolie,1525554432
6564,heroine in tight suit,1525554441
7153,Adventure,1528152558
7153,ensemble cast,1528152578
7153,fantasy,1528152556
7153,fantasy world,1528152571
7153,great soundtrack,1528152575
7153,lord of the rings,1528152581
7153,scenic,1528152580
7153,stylized,1528152577
7153,Tolkien,1528152561
8641,hilarious,1526249138
8641,Steve Carell,1526249156
8641,Will Ferrell,1526249135
27660,animation,1525554490
27660,anime,1525554488
27660,cyberpunk,1525554486
27660,dark,1525554500
27660,Matrix,1525554493
27660,sci-fi,1525554491
27706,dark comedy,1526248598
27706,Jim Carrey,1526248575
27706,meryl streep,1526248580
27706,quirky,1526248553
27706,stylized,1526248601
27808,Adam Sandler,1525554900
27808,family,1525554919
27808,sweet,1525554922
27831,British gangster,1532723304
27831,confusing,1532723364
27831,daniel craig,1532723305
27831,Exquisite plotting.,1532723355
27831,organized crime,1532723369
27831,stylish,1532723356
27831,Tom Hardy,1532723359
31658,anime,1525869041
31658,fantasy world,1525869051
31658,Hayao Miyazaki,1525869046
31658,Studio Ghibli,1525869044
33162,David Thewlis,1525554605
33162,Eva Green,1525554550
33162,Liam Neeson,1525554577
33162,Orlando Bloom,1525554511
34150,Chris Evans,1525554141
34150,comic book,1525554003
34150,heroine in tight suit,1525554138
34150,Jessica Alba,1525554127
34150,sexy female scientist,1525554144
34150,superhero,1525553977
37729,gothic,1530310527
37729,helena bonham carter,1530310534
37729,Johnny Depp,1530310529
37729,Tim Burton,1530310526
37729,visually appealing,1530310541
38061,black comedy,1532723380
38061,clever,1532723403
38061,fast-paced dialogue,1532723406
38061,good dialogue,1532723428
38061,Robert Downey Jr.,1532723408
38061,witty,1532723402
45447,adventure,1525637064
45447,Audrey Tautou,1525637075
45447,conspiracy theory,1525637062
45447,Mystery,1525637081
45447,Paris,1525637079
45447,Tom Hanks,1525637067
45447,treasure hunt,1525637084
46723,Brad Pitt,1525554217
46723,cate blanchett,1525554227
46723,multiple storylines,1525554215
46723,social commentary,1525554246
46972,Ben Stiller,1525554254
46972,Robin Williams,1525554255
46976,emma thompson,1536874692
46976,Maggie Gyllenhaal,1536874655
46976,modern fantasy,1536874658
46976,romance,1536874651
46976,surreal,1536874662
46976,Will Ferrell,1536874653
49130,Marion Cotillard,1526582371
49530,Africa,1536874706
49530,corruption,1536874704
49530,Jennifer Connelly,1536874701
49530,justice,1536874709
49530,Leonardo DiCaprio,1536874698
53464,bad acting,1525554797
53464,bad jokes,1525554811
53464,bad plot,1525554822
53464,Chris Evans,1525554807
53464,Jessica Alba,1525554794
53464,Marvel,1525554792
53464,sexy female scientist,1525554813
58047,Rachel Weisz,1528909364
58047,Ryan Reynolds,1528909347
59501,fantasy,1525637507
59501,lion,1525637517
59501,narnia,1525637508
59501,Tilda Swinton,1525637603
60074,bad script,1525554116
60074,Charlize Theron,1525554121
60074,Will Smith,1525554107
60126,Anne Hathaway,1527004240
60126,Steve Carell,1527004238
60756,comedy,1528934384
60756,funny,1528934381
60756,will ferrell,1528934379
61024,comedy,1528934218
61024,James Franco,1528934214
61024,Seth Rogen,1528934216
61024,Stoner Movie,1528934219
63992,audience intelligence underestimated,1528934237
63992,boring,1528934241
63992,chick flick,1528934247
63992,overrated,1528934240
63992,Teen movie,1528934233
68848,Adrien Brody,1527274305
68848,con artists,1527274320
68848,funny,1527274322
68848,interesting characters,1527274324
68848,Mark Ruffalo,1527274316
68848,Rachel Weisz,1527274311
71535,Bill Murray,1529777198
71535,dark comedy,1529777189
71535,Emma Stone,1529777192
71535,funny,1529777194
71535,Jesse Eisenberg,1529777186
71535,Woody Harrelson,1529777129
87430,audience intelligence underestimated,1525555172
87430,CGI,1525555168
87430,cheesy,1525555170
87430,comic book,1525555164
87430,DC,1525555176
87430,DC Comics,1525555184
87430,Ryan Reynolds,1525555162
87430,space,1525555182
87430,superhero,1525555181
88405,comedy,1525554879
88405,funny,1525554868
88405,happy ending,1525554872
88405,HOT actress,1525554880
88405,Justin Timberlake,1525554873
88405,Mila Kunis,1525554861
88405,New York City,1525554866
88405,romance,1525554883
88405,sex,1525554864
96861,Istanbul,1529611262
96861,Liam Neeson,1529611250
96861,predictable,1529611266
96861,Turkey,1529611256
96861,unnecessary sequel,1529611269
99114,action,1526078792
99114,Christoph Waltz,1526078766
99114,funny,1526078778
99114,good soundtrack,1526078785
99114,Great performances,1526078768
99114,Humour,1526078787
99114,Leonardo DiCaprio,1526078762
99114,Quentin Tarantino,1526078760
99114,Samuel L. Jackson,1526078763
99114,Soundtrack,1526078781
99114,western,1526078773
103042,Amy Adams,1525555328
103042,superhero,1525555319
104863,daniel radcliffe,1528843968
104863,zoe kazan,1528843965
107348,comedy,1528935011
107348,Steve Carell,1528935000
107348,stupid but funny,1528935013
107348,will ferrell,1528935002
108190,anti-intellectual,1525554841
108190,bad writing,1525554835
108190,dystopia,1525554830
108190,new society,1525554832
108190,plot holes,1525554845
108190,predictable,1525554847
108190,scifi,1525554839
108190,unintelligent,1525554843
111743,Charlize Theron,1530471420
111743,Liam Neeson,1530471434
111743,Seth MacFarlane,1530471419
111743,witty,1530471417
114180,action,1525554460
114180,dystopia,1525554450
114180,plot holes,1525554454
114180,post-apocalyptic,1525554458
114180,survival,1525554456
114180,thriller,1525554471
114180,unexplained,1525554473
114180,weak plot,1525554463
115149,dark hero,1528152251
115149,gun-fu,1528152257
115149,Keanu Reeves,1528152244
115149,Revenge,1528152241
115149,secret society,1528152258
115149,stylish,1528152247
116897,black comedy,1528152849
116897,dark comedy,1528152859
116897,dark humor,1528152847
116897,ironic,1528152854
116897,multiple short stories,1528152862
116897,short stories,1528152852
119141,bromance,1525555146
119141,comedy,1525555138
119141,funny,1525555129
119141,James Franco,1525555132
119141,Seth Rogen,1525555127
122912,comic book,1526029023
122912,Dr. Strange,1526029001
122912,Great villain,1526029025
122912,Guardians of the Galaxy,1526029015
122912,Marvel,1526028997
122912,MCU,1526028983
122912,Robert Downey Jr.,1526028991
122912,Thanos,1526028985
122912,Thor,1526029010
122912,Visually stunning,1526028994
128360,characters,1526078910
128360,Dialogue,1526078902
128360,humor,1526078901
128360,Kurt Russell,1526078886
128360,Quentin Tarantino,1526078877
128360,Samuel L. Jackson,1526078883
128360,tension building,1526078880
128360,violent,1526078912
128360,Western,1526078899
135133,dystopia,1525637480
135133,Jennifer Lawrence,1525637484
135133,love story,1525637487
135133,nonsense,1525637488
135133,politics,1525637499
135133,rebellion,1525637483
135133,revolution,1525637481
135518,Ben Kingsley,1530471365
135518,ethics,1530471346
135518,immortality,1530471343
135518,ryan reynolds,1530471352
135536,Bad story,1525555090
135536,Bad writing,1525555084
135536,Batman,1525555077
135536,Ben Affleck,1525555106
135536,comic book,1525555092
135536,dc comics,1525555080
135536,good soundtrack,1525555089
135536,Harley Quinn,1525555079
135536,Harley Quinn's ass,1525555094
135536,Horrible directing,1525555099
135536,Jared Leto,1525555072
135536,Joker,1525555074
135536,lack of plot,1525555069
135536,Margot Robbie,1525555073
135536,Poor story,1525555087
135536,poorly paced,1525555083
135536,superhero,1525555103
135536,visually appealing,1525555109
135536,Will Smith,1525555076
136864,action,1525555242
136864,batman,1525555211
136864,ben affleck,1525555223
136864,dark,1525555227
136864,dc comics,1525555225
136864,Gal Gadot,1525555240
136864,superhero,1525555243
136864,superman,1525555213
136864,wonderwoman,1525555233
139385,leonardo DiCarpio,1526079025
139385,survival,1526079019
139385,tom hardy,1526079029
139385,visually appealing,1526079038
158966,building a family,1526076353
158966,creative,1526076341
158966,freedom,1526076339
158966,good writing,1526076350
158966,individualism,1526076344
158966,Viggo Mortensen,1526076342
168248,action,1528152295
168248,dark hero,1528152291
168248,gun tactics,1528152287
168248,hitman,1528152293
168248,Keanu Reeves,1528152284
168248,organized crime,1528152289
168248,secret society,1528152282
174053,Dystopia,1525637341
174053,future,1525637343
174053,interesting,1525637346
174053,jon hamm,1525637384
174053,thought provoking,1525637344
179401,Action,1528934538
179401,Comedy,1528934534
179401,Dwayne Johnson,1528934540
179401,funny,1528934536
183611,Comedy,1526244689
183611,funny,1526244688
183611,Rachel McAdams,1526244709
184471,adventure,1528024900
184471,Alicia Vikander,1528024914
184471,video game adaptation,1528024898
187593,Josh Brolin,1527274096
187593,Ryan Reynolds,1527274092
187593,sarcasm,1527274090
187595,Emilia Clarke,1528934560
187595,star wars,1528934552
260,classic,1443199698
260,space action,1443199710
260,action,1439165594
260,sci-fi,1439165588
260,EPIC,1431954312
260,great soundtrack,1431954337
296,good dialogue,1431954555
296,great soundtrack,1431954555
296,non-linear,1431954555
4896,Everything you want is here,1467566944
106489,adventure,1467566979
260,classic sci-fi,1442535682
260,engrossing adventure,1442535673
260,EPIC,1442535666
260,classic,1435942530
260,Nerd,1435942520
101142,animation,1436563067
101142,funny,1436563067
101142,stone age,1436563067
115149,action,1437763143
115149,killer,1437763143
115149,widows/widowers,1437763143
115617,animation,1435944890
115617,kids,1435944890
115617,robots,1435944890
120635,action,1438439306
120635,murder,1438439306
120635,police,1438439306
1726,Kevin Costner,1474483317
1726,Post apocalyptic,1474483320
2387,dark comedy,1474382225
2387,dark humor,1474382223
3052,irreverent,1474592072
3052,jay and silent bob,1474592004
3052,Kevin Smith,1474592000
3052,satire,1474591997
5088,irreverent,1474592207
7022,based on a book,1474381749
7022,bloody,1474381755
7022,brutal,1474381612
7022,controversial,1474381812
7022,dystopia,1474381779
7022,goretastic,1474381786
7022,satire,1474381739
7022,social commentary,1474381788
7022,survival,1474381609
7022,violence,1474381745
7254,alternate reality,1474381441
7254,sci-fi,1474381448
7254,science fiction,1474381455
7254,time travel,1474381439
8957,brutal,1474382001
8957,clever,1474382019
8957,Disturbing,1474382015
8957,great ending,1474381987
8957,mindfuck,1474381982
8957,surprise ending,1474381973
8957,suspense,1474381994
9010,cruel characters,1474381529
42632,brutality,1474381492
58301,dark humor,1474381561
60950,threesome,1474591817
62434,Seth Rogen,1474592476
62434,Sexual Humor,1474592473
67695,Seth Rogen,1474382123
100083,embarassing scenes,1474377075
100083,offensive,1474377060
100083,R language,1474377035
100083,sarcasm,1474377015
100083,satire,1474381901
156371,80's,1474469700
158872,Crude humor,1474382035
158872,mindfuck,1474382087
158872,sarcasm,1474382053
158872,satire,1474382047
158872,Vulgar,1474382100
3556,sofia coppola,1163148016
6323,John Cusack,1161800041
6367,Ewan McGregor,1161799885
6367,Renee Zellweger,1161799951
59103,jackie chan,1222676394
59103,kung fu,1222676405
52287,Something for everyone in this one... saw it without and plan on seeing it with kids!,1176498861
293,assassin,1188774484
293,Jean Reno,1188774487
54286,assassin,1188774519
54286,assassin-in-training (scene),1188774517
54286,espionage,1188774515
54286,Robert Ludlum,1188774524
104,test tag,1154718872
115617,feel-good,1435523876
115617,fun family movie,1435523876
115617,very funny,1435523876
2579,black and white,1537094307
2579,Christopher Nolan,1537094326
2579,directorial debut,1537094323
2579,mindfuck,1537094375
2579,not linear,1537094318
2579,Twist Ending,1537094309
3793,action,1537094381
3793,comic book,1537094359
3793,hugh jackman,1537094370
3793,marvel,1537094366
3793,superhero,1537094354
4226,dark,1537094453
4226,Mindfuck,1537094464
4226,nonlinear,1537094445
